index,city,country,created,local_asn,name,updated
52,Montreal,CA,2016-10-07T17:34:54Z,46489,Cologix MTL3,2016-10-07T17:34:55Z
53,Milan,IT,2018-04-04T09:02:30Z,46489,IRIDEOS Avalon Campus,2018-04-04T09:02:30Z
54,Salt Lake City,US,2017-08-24T19:52:48Z,46489,EdgeConneX Salt Lake City (EDCSLC01),2017-08-24T19:52:48Z
55,Singapore,SG,2016-08-24T07:50:47Z,46489,Equinix SG3 - Singapore,2016-08-24T07:50:47Z
56,Seoul,KR,2015-11-02T00:00:00Z,46489,Pacnet SEDS1,2016-03-15T09:24:12Z
57,Toronto,CA,2016-08-24T07:46:26Z,46489,Cologix TOR2,2016-08-24T07:46:26Z
58,Santa Clara,US,2016-02-18T00:00:00Z,46489,EdgeConneX Santa Clara (EDCSVC01) ,2016-03-11T07:20:49Z
59,Espoo,FI,2018-04-04T09:00:35Z,46489,"Equinix HE6 - Helsinki, Sinimäki",2018-04-04T09:00:35Z
60,Dallas,US,2016-09-13T15:27:34Z,46489,Equinix DA2 - Dallas,2016-09-13T15:27:34Z
61,Reston,US,2016-08-30T21:18:50Z,46489,CoreSite - Reston (VA2),2016-08-30T21:18:50Z
62,Montreal,CA,2016-10-07T17:35:02Z,46489,Cologix MTL4,2016-10-07T17:35:02Z
63,New Taipei City,TW,2017-03-13T16:22:50Z,46489,CHT Taipei Banqiao IDC,2017-03-13T16:22:50Z
64,Columbus,US,2018-07-26T15:37:01Z,46489,Cologix COL3,2018-07-26T15:37:01Z
65,Bangkok,TH,2019-06-20T19:58:06Z,46489,"TCC Technology - Bangkok,Thailand (TCC BNDC,TCC Bangna,TCCtech)",2019-06-20T19:58:06Z
66,London,GB,2020-01-17T11:25:10Z,46489,Telehouse - London (Docklands North Two),2020-01-17T11:25:10Z
67,Fortaleza,BR,2020-07-06T22:31:20Z,46489,Globenet - BR North East Region DC,2020-07-06T22:31:20Z
68,Taipei,TW,2019-03-25T22:02:20Z,46489,CHT Taipei Aikuo IDC,2019-03-25T22:02:20Z
69,Sydney,AU,2020-07-28T22:58:33Z,46489,Equinix SY5 - Sydney,2020-07-28T22:58:33Z
